This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 202112 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on OP.

The portfolios are constructed at the end of June.  OP, operating profitability, is
operating profits (sales minus cost of goods sold, minus selling, general, and,
administrative expenses, minus interest expense) divided by book equity 
at the last fiscal year end of the prior calendar year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm’s accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196706,    3.26,    1.69,    2.16,    4.73,    2.30,    1.68,    1.07,    2.50,    7.60,    3.02,    2.61,    1.80,    1.45,    1.92,    1.52,    0.74,    2.28,    2.59
196707,    3.05,    5.34,    5.28,    7.83,    2.81,    5.48,    6.40,    4.41,    8.43,    7.57,    0.16,    6.19,    4.72,    6.32,    3.67,    8.82,    6.59,    2.86
196708,   -0.81,   -0.55,   -0.81,   -0.33,   -0.78,   -0.97,   -0.33,   -0.82,   -0.85,   -0.10,   -1.13,   -0.36,   -0.64,   -1.33,    0.21,   -0.79,   -0.11,   -1.34
196709,    3.82,    2.08,    4.49,    4.67,    2.93,    1.81,    2.43,    4.93,    3.69,    5.11,    3.25,    2.53,    0.88,    2.83,    2.06,    2.74,    5.37,    4.61
196710,   -3.36,   -3.89,   -0.84,   -3.50,   -2.80,   -4.16,   -4.29,   -0.31,   -1.58,   -4.34,   -3.26,   -2.24,   -3.36,   -5.02,   -5.86,   -2.97,   -3.81,    2.32
196711,   -0.10,    1.24,    0.61,   -0.11,    0.38,    1.68,   -0.18,    0.96,   -1.12,    0.35,   -0.09,    0.94,    2.43,    0.85,    0.62,   -0.83,   -1.13,    2.43
196712,    3.39,    3.49,    2.62,    5.14,    2.57,    3.66,    2.92,    2.75,    8.36,    3.69,    2.24,    2.96,    2.61,    4.84,    3.94,    2.07,    2.69,    2.79
196801,   -0.27,   -3.05,   -6.44,    0.00,   -1.55,   -3.35,   -4.04,   -6.73,   -0.57,    0.26,   -0.46,   -2.83,   -2.60,   -4.18,   -2.64,   -5.21,   -5.32,   -7.69
196802,   -3.47,   -2.79,   -3.16,   -3.81,   -2.54,   -2.72,   -3.50,   -3.33,   -5.43,   -3.06,   -3.24,   -1.71,   -3.08,   -2.33,   -4.75,   -2.43,   -3.19,   -3.43
196803,   -0.26,   -0.82,    2.30,    0.18,   -0.58,   -0.46,   -0.78,    2.78,   -0.44,    0.46,   -0.56,   -0.61,    0.20,   -1.19,   -2.11,    0.33,    0.79,    4.16
196804,    7.07,    7.77,   11.23,   11.16,    4.99,    8.86,    9.46,   11.41,   14.23,    9.76,    4.26,    5.85,    8.88,    8.83,    8.23,   10.47,   11.44,   11.38
196805,    2.32,    1.23,    2.94,    3.70,    0.51,    2.14,    1.28,    3.39,    7.24,    2.03,    1.31,   -0.42,    1.63,    2.71,    1.62,    1.01,    1.61,    4.59
196806,    2.23,    2.19,   -0.41,    2.81,    2.18,    1.85,    1.04,   -0.50,    1.90,    3.27,    1.79,    2.63,    2.67,    0.95,    2.35,   -0.02,   -0.08,   -0.77
196807,   -0.60,   -0.44,   -4.36,   -2.56,    0.58,    0.23,   -2.96,   -4.67,   -3.57,   -1.85,    1.57,   -0.34,    2.50,   -2.21,   -2.40,   -3.37,   -4.52,   -4.76
196808,    2.71,    1.50,    1.30,    2.93,    2.43,    1.23,    0.91,    1.48,    2.62,    3.14,    2.48,    2.39,    0.89,    1.62,    1.10,    0.76,    1.60,    1.41
196809,    6.67,    3.87,    3.44,    6.85,    5.13,    3.77,    4.66,    2.94,    8.66,    5.60,    6.47,    3.85,    3.01,    4.62,    4.17,    5.02,    4.58,    2.00
196810,    1.97,    1.79,   -0.62,    1.83,    2.49,    1.26,    1.08,   -0.99,    1.74,    1.90,    2.12,    2.86,    1.65,    0.83,    1.86,    0.51,    2.44,   -3.00
196811,    5.61,    5.66,    6.00,    5.77,    5.53,    5.40,    6.64,    5.74,    5.70,    5.81,    5.44,    5.62,    5.85,    4.90,    6.46,    6.78,    3.03,    7.42
196812,   -2.52,   -3.55,   -4.39,   -1.58,   -3.79,   -3.47,   -3.88,   -4.38,   -1.78,   -1.45,   -3.53,   -4.05,   -3.30,   -3.66,   -3.13,   -4.42,   -3.34,   -4.99
196901,   -0.38,    0.14,   -2.02,   -0.12,   -0.34,    0.65,   -1.04,   -2.36,   -1.00,    0.51,   -0.66,   -0.02,    0.46,    0.87,   -1.08,   -1.01,   -1.83,   -2.68
196902,   -6.63,   -4.94,   -4.26,   -7.51,   -5.42,   -4.71,   -5.10,   -4.03,   -7.96,   -7.20,   -5.66,   -5.19,   -4.86,   -4.54,   -5.27,   -4.97,   -4.13,   -3.96
196903,    4.70,    2.66,    3.26,    3.50,    3.61,    3.61,    1.95,    3.65,    2.23,    4.37,    6.00,    1.31,    3.08,    4.19,    1.76,    2.09,    4.17,    3.34
196904,    0.97,    2.14,    2.70,    2.13,    2.27,    1.53,    1.71,    2.71,    2.81,    1.66,   -0.24,    4.78,    0.19,    3.00,    0.40,    2.67,    1.25,    3.60
196905,    0.52,    0.80,   -0.21,    0.59,    0.86,    0.21,   -0.20,    0.29,   -0.90,    1.61,    0.45,    1.24,    1.09,   -0.73,    1.92,   -1.71,    1.48,   -0.42
196906,  -10.16,   -6.77,   -3.61,  -10.16,   -8.24,   -7.24,   -5.49,   -3.10,  -11.06,   -9.57,  -10.15,   -6.42,   -7.46,   -7.00,   -5.89,   -5.20,   -5.84,   -1.45
196907,   -8.26,   -6.26,   -5.46,   -9.16,   -6.68,   -6.01,   -6.24,   -5.28,   -9.19,   -9.15,   -6.99,   -6.50,   -6.92,   -4.82,   -6.37,   -6.11,   -5.68,   -4.98
196908,    5.38,    4.40,    5.61,    4.15,    4.90,    4.99,    4.64,    5.81,    5.52,    3.50,    7.07,    3.66,    4.57,    5.53,    4.41,    4.87,    4.98,    6.45
196909,   -5.11,   -2.95,   -0.67,   -3.85,   -4.15,   -3.69,   -1.34,   -0.69,   -2.41,   -4.55,   -6.78,   -2.60,   -4.25,   -2.99,   -2.06,   -0.58,   -1.30,   -0.23
196910,    5.82,    5.04,    6.07,    6.22,    4.64,    4.45,    6.40,    6.21,    7.58,    5.54,    5.29,    4.27,    2.80,    6.54,    7.23,    5.54,    6.12,    6.28
196911,   -4.82,   -3.22,   -2.51,   -4.75,   -2.98,   -4.06,   -3.59,   -2.23,   -5.39,   -4.42,   -4.91,   -1.90,   -4.34,   -3.72,   -3.62,   -3.56,   -2.74,   -1.85
196912,   -2.59,   -2.42,   -0.77,   -2.47,   -3.45,   -1.65,   -1.99,   -0.38,   -4.82,   -1.29,   -2.76,   -3.83,   -1.36,   -2.01,   -1.75,   -2.24,   -0.47,   -0.32
197001,   -7.64,   -7.03,   -7.90,   -6.84,   -7.01,   -8.22,   -7.32,   -7.79,   -5.43,   -7.52,   -8.77,   -6.03,   -8.29,   -8.14,   -6.33,   -8.36,   -6.94,   -8.41
197002,    7.76,    6.78,    4.12,    7.27,    8.55,    5.72,    5.28,    4.03,    7.09,    7.36,    8.45,    8.60,    4.74,    6.89,    6.04,    4.47,    5.15,    3.20
197003,   -0.93,    0.80,   -1.12,   -1.38,    0.70,    0.65,   -0.63,   -0.94,   -1.05,   -1.55,   -0.30,    1.24,    0.97,    0.28,    0.42,   -1.79,   -0.23,   -1.48
197004,  -10.47,   -9.65,  -10.32,  -10.79,   -9.31,   -9.56,  -10.30,  -10.49,  -14.34,   -9.02,  -10.03,   -8.93,   -9.11,  -10.10,  -10.89,   -9.65,   -8.19,  -12.26
197005,   -4.90,   -5.11,   -7.53,   -6.25,   -4.67,   -4.05,   -8.10,   -6.89,   -8.78,   -5.06,   -3.03,   -5.52,   -2.48,   -5.93,   -6.40,   -9.98,   -6.70,   -7.04
197006,   -4.75,   -5.13,   -5.19,   -5.46,   -5.82,   -4.67,   -3.34,   -5.64,  -10.30,   -3.27,   -3.80,   -6.90,   -5.95,   -3.08,   -3.27,   -3.42,   -3.73,   -7.17
197007,    8.14,    9.28,    5.36,    7.91,    8.15,   10.15,    8.45,    4.47,    7.31,    8.19,    8.46,    7.84,   10.90,    8.70,    8.27,    8.64,    5.15,    4.11
197008,    5.02,    4.65,    5.39,    4.79,    4.50,    4.43,    5.34,    5.59,    3.87,    5.22,    5.33,    3.65,    4.26,    4.78,    6.01,    4.67,    5.28,    5.75
197009,    5.21,    2.75,    5.86,    7.32,    3.01,    2.16,    3.92,    6.27,   13.46,    4.46,    2.38,    3.67,    2.37,    1.75,    3.49,    4.36,    4.71,    7.11
197010,   -2.65,   -1.74,   -1.18,   -2.86,   -3.06,   -1.24,   -1.68,   -0.93,   -8.02,   -0.25,   -2.35,   -3.79,   -1.39,   -0.96,   -1.30,   -2.07,   -1.85,   -0.46
197011,    4.33,    5.56,    5.10,    3.72,    4.89,    6.02,    4.88,    5.24,    3.14,    4.00,    5.17,    4.60,    6.47,    5.14,    5.15,    4.61,    5.36,    5.17
197012,    6.39,    6.36,    5.93,    7.01,    6.17,    6.16,    6.78,    5.62,    8.27,    6.43,    5.53,    6.84,    5.74,    6.99,    6.50,    7.07,    7.57,    4.62
197101,    5.69,    5.14,    4.35,    6.63,    4.82,    5.12,    4.55,    4.44,   10.18,    4.95,    4.38,    5.28,    4.39,    6.55,    5.07,    4.02,    5.09,    4.09
197102,    1.97,    1.04,    2.20,    2.06,    2.05,   -0.11,    2.71,    2.14,    3.53,    1.34,    1.84,    2.26,   -0.48,    0.59,    2.96,    2.45,    1.69,    2.38
197103,    3.88,    3.67,    5.22,    3.75,    3.86,    3.12,    4.58,    5.50,    5.51,    2.86,    4.05,    3.67,    3.09,    3.18,    4.98,    4.17,    5.47,    5.51
197104,    4.72,    2.94,    3.49,    5.74,    2.58,    2.59,    3.04,    4.04,    5.60,    5.81,    3.26,    1.88,    2.08,    3.56,    4.58,    1.44,    4.95,    3.55
197105,   -5.06,   -3.22,   -3.53,   -4.65,   -4.95,   -3.58,   -2.65,   -3.48,   -4.27,   -4.86,   -5.65,   -4.21,   -3.87,   -3.03,   -1.66,   -3.72,   -2.16,   -4.20
197106,   -0.49,    0.92,   -0.01,   -1.28,    0.35,    0.77,    1.39,   -0.22,   -1.06,   -1.39,    0.67,    0.02,    0.30,    1.63,    1.93,    0.79,    0.21,   -0.46
197107,   -4.83,   -3.82,   -4.27,   -5.14,   -4.00,   -3.82,   -3.47,   -4.67,   -7.74,   -3.87,   -4.42,   -3.62,   -3.64,   -4.13,   -3.98,   -2.98,   -4.10,   -5.07
197108,    5.26,    3.49,    4.75,    6.57,    3.57,    2.78,    4.58,    5.07,    8.36,    5.72,    3.53,    3.61,    3.91,    0.78,    5.48,    3.74,    6.33,    4.17
197109,   -1.70,   -0.75,    0.34,   -2.01,   -1.17,   -0.61,   -0.58,    0.53,   -4.15,   -0.98,   -1.27,   -1.08,   -0.44,   -0.91,   -0.89,   -0.28,    1.10,    0.11
197110,   -5.07,   -4.07,   -3.36,   -5.91,   -3.63,   -4.19,   -4.21,   -3.13,   -6.96,   -5.42,   -3.92,   -3.38,   -4.10,   -4.34,   -4.30,   -4.12,   -3.93,   -2.54
197111,   -2.22,   -0.33,    1.09,   -2.88,   -0.50,   -0.25,   -0.13,    1.21,   -3.39,   -2.65,   -1.34,    0.21,    0.02,   -0.75,   -1.02,    0.69,    1.87,    0.73
197112,   10.63,    8.26,    9.50,   10.84,    9.04,    8.27,    8.41,    9.87,   11.63,   10.48,   10.35,    7.93,    7.43,    9.82,    8.51,    8.32,   10.53,    9.38
197201,    4.07,    0.95,    3.79,    5.70,    1.66,    0.97,    1.23,    4.36,    8.20,    4.55,    1.92,    1.44,    0.57,    1.70,    0.51,    1.90,    2.87,    5.46
197202,    2.11,    2.17,    4.58,    2.52,    1.89,    2.47,    3.41,    4.36,    2.52,    2.52,    1.56,    2.18,    1.95,    3.40,    1.29,    5.34,    5.63,    3.45
197203,   -0.49,    0.50,    1.67,   -0.39,   -0.96,    0.03,    2.46,    1.64,   -0.28,   -0.45,   -0.62,   -1.25,    1.97,   -3.38,    3.28,    1.75,    2.05,    1.34
197204,    1.51,   -0.05,    0.83,    1.52,    0.89,   -0.74,    1.11,    0.86,    2.64,    0.98,    1.50,    0.37,   -1.06,   -0.14,    1.56,    0.70,    1.29,    0.55
197205,   -0.28,    0.69,    3.18,   -1.18,    0.68,    1.28,    0.94,    3.40,   -1.63,   -0.95,    0.95,    0.44,    0.21,    3.23,   -0.75,    2.45,    3.90,    3.03
197206,   -4.00,   -2.87,   -0.73,   -4.44,   -2.81,   -3.11,   -1.36,   -0.88,   -5.86,   -3.75,   -3.41,   -2.28,   -3.13,   -3.07,   -2.67,   -0.22,   -0.70,   -1.02
197207,   -3.19,   -0.94,    0.77,   -4.45,   -1.55,   -1.20,    0.07,    0.97,   -4.65,   -4.36,   -1.83,   -1.22,   -0.97,   -1.70,   -0.09,    0.15,    1.44,    0.64
197208,    5.11,    4.55,    2.42,    5.38,    4.94,    3.77,    5.38,    1.55,    5.00,    5.54,    4.83,    5.08,    3.32,    4.73,    6.04,    5.02,    0.51,    2.28
197209,   -2.28,   -0.45,   -0.51,   -3.60,   -1.04,   -0.24,   -0.81,   -0.33,   -4.28,   -3.31,   -0.90,   -1.21,    0.53,   -1.83,   -0.41,   -1.04,    0.07,   -0.61
197210,    0.47,    1.72,    0.59,    0.23,    1.28,    2.32,    1.29,    0.12,   -1.72,    1.06,    0.73,    1.95,    2.31,    2.34,    0.17,    1.94,    2.26,   -1.38
197211,    7.26,    6.24,    3.45,    7.96,    6.94,    6.03,    5.33,    2.91,    5.26,    9.08,    6.54,    7.41,    6.05,    5.99,    5.89,    5.01,    2.71,    3.05
197212,   -1.78,    0.62,    2.19,   -2.79,   -0.83,    1.29,    1.16,    2.36,   -2.90,   -2.75,   -0.72,   -0.95,    1.22,    1.44,    0.19,    1.71,    3.18,    1.76
197301,   -3.57,   -3.19,   -1.72,   -4.95,   -2.21,   -3.97,   -1.77,   -1.75,   -4.54,   -5.11,   -2.18,   -2.25,   -3.57,   -4.82,   -2.02,   -1.63,   -3.91,   -0.17
197302,   -5.46,   -5.06,   -3.27,   -4.48,   -6.19,   -4.07,   -4.26,   -3.41,   -4.26,   -4.57,   -6.42,   -5.90,   -3.69,   -4.89,   -6.82,   -2.86,   -3.90,   -3.07
197303,   -0.02,   -0.66,   -0.53,    0.58,   -0.26,   -1.76,    0.06,   -0.47,   -0.88,    1.17,   -0.63,    0.17,   -1.87,   -1.52,    1.44,   -0.68,    0.09,   -0.87
197304,   -5.11,   -2.98,   -5.37,   -5.89,   -3.82,   -2.30,   -4.27,   -5.79,   -6.26,   -5.74,   -4.31,   -3.26,   -1.62,   -3.77,   -4.38,   -4.21,   -6.09,   -5.58
197305,   -5.00,   -1.92,   -1.24,   -5.68,   -3.99,   -1.36,   -0.85,   -1.61,   -6.86,   -5.22,   -4.32,   -3.60,   -0.59,   -3.07,   -2.04,   -0.21,   -1.11,   -1.97
197306,   -1.91,   -1.62,   -0.29,   -1.71,   -1.52,   -1.73,   -1.32,   -0.02,   -2.22,   -1.51,   -2.10,   -0.85,   -1.63,   -1.96,   -1.92,   -1.01,    0.28,   -0.24
197307,    8.17,    5.00,    5.30,    8.68,    5.27,    4.30,    7.73,    4.46,    9.28,    8.34,    7.34,    3.88,    3.63,    5.90,    7.62,    7.79,    4.88,    4.07
197308,   -2.04,   -3.11,   -3.41,   -0.69,   -3.42,   -3.01,   -3.58,   -3.36,   -0.96,   -0.54,   -4.28,   -2.82,   -3.13,   -2.70,   -3.62,   -3.56,   -3.18,   -3.53
197309,    8.05,    8.15,    2.89,    8.75,    7.51,    8.39,    6.35,    1.99,    7.32,    9.56,    6.85,    7.97,    8.00,    9.31,    7.83,    5.49,    5.56,   -1.42
197310,    0.23,   -0.52,    0.00,    1.11,    0.23,   -1.35,   -0.17,   -0.01,    1.86,    0.69,   -1.32,    1.28,   -2.07,    0.31,   -0.51,    0.02,   -0.03,    0.01
197311,  -11.61,  -12.89,  -12.05,  -10.74,  -13.84,  -10.40,  -13.76,  -12.06,  -12.38,   -9.82,  -13.17,  -14.29,   -9.33,  -12.85,  -16.69,  -12.03,  -12.22,  -11.88
197312,    3.43,    3.31,   -0.42,    4.36,    4.27,    3.51,    1.08,   -1.13,    3.90,    4.61,    1.73,    5.97,    3.89,    2.60,    0.17,    1.58,    1.72,   -4.03
197401,    2.84,    1.05,   -1.13,    2.27,    0.94,    1.49,   -0.35,   -0.90,    5.14,    0.71,    3.92,   -0.97,    1.00,    2.66,    2.23,   -1.76,   -2.48,    0.80
197402,    1.32,    1.48,   -1.18,    1.10,    0.51,    2.42,   -0.33,   -1.17,    0.99,    1.17,    1.72,   -0.31,    2.52,    2.19,    1.21,   -1.21,   -0.96,   -1.39
197403,   -5.01,   -2.49,   -1.07,   -4.29,   -3.79,   -3.09,   -0.98,   -1.23,   -3.78,   -4.58,   -6.35,   -2.02,   -3.18,   -2.90,   -1.56,   -0.64,   -1.39,   -1.07
